Date,Sector,Industry,CapGain
2023-01-05,Consumer Cyclical,"Furnishings, Fixtures & Appliances",6145758.989999988
2023-01-05,Consumer Cyclical,Gambling,-57014.59999999861
2023-01-05,Consumer Cyclical,Home Improvement Retail,-2409986.999999877
2023-01-05,Consumer Cyclical,Internet Retail,111697037.67000036
2023-01-05,Consumer Cyclical,Leisure,11011993.880000008
2023-01-05,Consumer Cyclical,Lodging,618849.0000000272
2023-01-05,Consumer Cyclical,Luxury Goods,3451878.000000003
2023-01-05,Consumer Cyclical,Packaging & Containers,6283881.750000031
2023-01-05,Consumer Cyclical,Personal Services,2006657.0000000088
2023-01-05,Consumer Cyclical,Recreational Vehicles,3474884.379999984
2023-01-05,Consumer Cyclical,Residential Construction,15459504.999999983
2023-01-05,Consumer Cyclical,Resorts & Casinos,-35299.99999998137
2023-01-05,Consumer Cyclical,Restaurants,-4449875.999999845
2023-01-05,Consumer Cyclical,Specialty Retail,9073823.399999952
2023-01-05,Consumer Cyclical,Textile Manufacturing,-76383.99999999939
2023-01-05,Consumer Cyclical,Travel Services,62484936.00000002
2023-01-05,Consumer Defensive,Beverages - Brewers,-759653.9999999978
2023-01-05,Consumer Defensive,Beverages - Non-Alcoholic,-6642051.230000046
2023-01-05,Consumer Defensive,Beverages - Wineries & Distilleries,-74147091.39999993
2023-01-05,Consumer Defensive,Confectioners,-4586625.999999982
2023-01-05,Consumer Defensive,Discount Stores,3764295.999999936
2023-01-05,Consumer Defensive,Education & Training Services,13821106.99999999
2023-01-05,Consumer Defensive,Farm Products,-15928622.45999997
2023-01-05,Consumer Defensive,Food Distribution,1412862.9999999737
2023-01-05,Consumer Defensive,Grocery Stores,4149802.9999999823
2023-01-05,Consumer Defensive,Household & Personal Products,-12109765.19999998
2023-01-05,Consumer Defensive,Packaged Foods,6697145.129999926
2023-01-05,Consumer Defensive,Tobacco,113327.75999992872
2023-01-05,Energy,Oil & Gas Drilling,7065531.999999994
2023-01-05,Energy,Oil & Gas E&P,32543778.999999896
2023-01-05,Energy,Oil & Gas Equipment & Services,26201348.060000077
2023-01-05,Energy,Oil & Gas Integrated,95918122.49999993
2023-01-05,Energy,Oil & Gas Midstream,15196777.389999991
2023-01-05,Energy,Oil & Gas Refining & Marketing,72785396.0
2023-01-05,Energy,Thermal Coal,4978597.000000007
2023-01-05,Energy,Uranium,1896030.0000000023
2023-01-05,Financial Services,Asset Management,-16921192.679999966
2023-01-05,Financial Services,Banks - Diversified,-1922286.0000000657
2023-01-05,Financial Services,Banks - Regional,352927.7199999641
2023-01-05,Financial Services,Capital Markets,31571523.37999996
2023-01-05,Financial Services,Credit Services,-47682742.99
2023-01-05,Financial Services,Financial Conglomerates,-1381370.9999999932
2023-01-05,Financial Services,Financial Data & Stock Exchanges,-33766132.000000015
2023-01-05,Financial Services,Insurance - Diversified,-5412240.000000075
2023-01-05,Financial Services,Insurance - Life,-3842517.0000000224
2023-01-05,Financial Services,Insurance - Property & Casualty,1888418.7600000317
2023-01-05,Financial Services,Insurance - Reinsurance,577500.0
2023-01-05,Financial Services,Insurance - Specialty,-3980909.999999999
2023-01-05,Financial Services,Insurance Brokers,-4026520.780000018
2023-01-05,Financial Services,Mortgage Finance,483817.7499999981
2023-01-05,Financial Services,Shell Companies,-1906039.7799999989
2023-01-05,Healthcare,Biotechnology,-8026724.30000007
2023-01-05,Healthcare,Diagnostics & Research,3251495.7200002926
2023-01-05,Healthcare,Drug Manufacturers - General,32081751.000000093
2023-01-05,Healthcare,Drug Manufacturers - Specialty & Generic,2765013.62999999
2023-01-05,Healthcare,Health Information Services,-22080458.15999999
2023-01-05,Healthcare,Healthcare Plans,-129695175.93999995
2023-01-05,Healthcare,Medical Care Facilities,8608031.39999998
2023-01-05,Healthcare,Medical Devices,-25723946.25999993
2023-01-05,Healthcare,Medical Distribution,-2809703.9999999707
2023-01-05,Healthcare,Medical Instruments & Supplies,-7756666.509999936
2023-01-05,Healthcare,Pharmaceutical Retailers,-13994775.27999998
2023-01-05,Industrials,Aerospace & Defense,30728809.740000024
2023-01-05,Industrials,Airlines,38570272.000000015
2023-01-05,Industrials,Airports & Air Services,252715.0000000012
2023-01-05,Industrials,Building Products & Equipment,-4285471.6
2023-01-05,Industrials,Business Equipment & Supplies,-149516.00000000035
2023-01-05,Industrials,Conglomerates,-20214666.29999996
2023-01-05,Industrials,Consulting Services,-7200276.000000037
2023-01-05,Industrials,Electrical Equipment & Parts,1043059.0500000048
2023-01-05,Industrials,Engineering & Construction,-16085460.400000002
2023-01-05,Industrials,Farm & Heavy Construction Machinery,-13835534.99999999
2023-01-05,Industrials,Industrial Distribution,-9159976.000000073
2023-01-05,Industrials,Infrastructure Operations,-138090.00000000032
2023-01-05,Industrials,Integrated Freight & Logistics,7468289.999999991
2023-01-05,Industrials,Marine Shipping,-1682098.1600000055
2023-01-05,Industrials,Metal Fabrication,1830389.160000002
